,Fuel_Type,Body_Type,Gears,Seating_Capacity,Ventilation_System,Airbags,Navigation_System,Model_Name,Mileage,Fuel_Capacity,Price
266,Petrol,SUV,7,5.0,2 Zone Climate Control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Drive side airbag",Yes,Audi Q3,16.9,64.0,3496750
267,Petrol,Hatchback,6,5.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag",Yes,Mini Cooper 5 Door,21.15,44.0,3600000
268,Petrol,Convertible,6,4.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag",Yes,Mini Convertible,14.59,44.0,3830000
275,Petrol,"Sports, Hatchback",8,2.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag",Yes,Mini John Cooper Works,16.47,44.0,4350000
276,Petrol,Sedan,8,5.0,2 Zone Climate Control,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag",Yes,Jaguar Xe,11.0,61.0,4498000
277,Diesel,Sedan,8,4.0,2 Zone Climate Control,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag",Yes,Jaguar Xe,11.0,56.0,4498000
278,Diesel,Sedan,8,4.0,2 Zone Climate Control,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag",Yes,Jaguar Xe,11.0,56.0,4633000
279,Petrol,Sedan,8,5.0,2 Zone Climate Control,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag",Yes,Jaguar Xe,11.0,61.0,4633000
280,Petrol,Sedan,8,5.0,2 Zone Climate Control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Jaguar Xf,13.12,74.0,5436329
281,Petrol,Sedan,8,5.0,2 Zone Climate Control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Jaguar Xf,13.12,82.0,6073446
282,Diesel,Sedan,8,5.0,2 Zone Climate Control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Jaguar Xf,19.33,83.0,6138811
283,Diesel,Sedan,8,5.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Jaguar Xf,19.33,66.0,5506622
284,Diesel,Sedan,8,5.0,2 Zone Climate Control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Jaguar Xf,19.33,66.0,4977080
285,Petrol,Convertible,7,4.0,2 Zone Climate Control,"Driver frontal airbag, Driver head airbag, Front passenger frontal airbag, Front passenger head airbag, Front passenger side airbag, Drive side airbag, Driver knee airbag",Yes,Audi A3 Cabriolet,19.2,50.0,5038000
286,Petrol,Sedan,7,5.0,2 Zone Climate Control,"Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Yes,Audi A6,14.11,73.0,5442200
287,Petrol,Sedan,7,5.0,2 Zone Climate Control,"Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Yes,Audi A6,14.11,73.0,5942200
288,Diesel,SUV,8,5.0,2 Zone Climate Control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",None,Bmw X3,18.56,67.0,5930000
289,Petrol,SUV,8,5.0,2 Zone Climate Control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",None,Bmw X3,18.56,67.0,5880000
290,Diesel,SUV,8,5.0,2 Zone Climate Control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",None,Bmw X3,18.56,67.0,5600000
294,Petrol,Sedan,7,5.0,3 Zone climate control,"Rear passenger side airbags, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Audi S5,13.57,58.0,7243000
298,Petrol,"Sedan, Coupe",6,4.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Driver knee airbag, Drive side airbag, Driver curtain airbag",Yes,Ford Mustang,13.0,60.9,7462000
301,Petrol,SUV,8,5.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Jeep Grand Cherokee,12.8,93.5,11400000
312,Diesel,SUV,5,7.0,3 Zone climate control,"Curtain airbags, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag",Yes,Toyota Land Cruiser Prado,11.13,87.0,9630000
314,Petrol,Coupe,7,4.0,4 Zone climate control,"Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Audi Rs5,10.8,58.0,11141200
315,Diesel,Sedan,8,4.0,4 Zone climate control,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Bmw 7-Series,17.66,78.0,12290000
316,Diesel,Sedan,8,4.0,4 Zone climate control,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Bmw 7-Series,17.66,78.0,13200000
317,Diesel,Sedan,8,4.0,4 Zone climate control,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Bmw 7-Series,17.66,78.0,13510000
318,Petrol,Sedan,8,4.0,4 Zone climate control,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Bmw 7-Series,11.86,78.0,13510000
320,Petrol,Sedan,8,4.0,4 Zone climate control,"Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Bmw 7-Series,7.96,78.0,24250000
325,Diesel,SUV,6,4.0,4 Zone climate control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Maserati Levante,7.9,80.0,14512054
326,Diesel,SUV,6,4.0,4 Zone climate control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Maserati Levante,7.9,80.0,14863774
327,Diesel,SUV,6,4.0,4 Zone climate control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Maserati Levante,7.9,80.0,15383399
331,Petrol,Coupe,6,4.0,Fully automatic climate control,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Maserati Granturismo,10.0,86.0,17229579
332,Diesel,Sports,6,4.0,Fully automatic climate control,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Maserati Quattroporte,7.9,70.0,17900000
336,Petrol,Sedan,7,4.0,"Fully automatic climate control, 4 Zone climate control","Front passenger knee airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag",Yes,Porsche Panamera,10.63,90.0,21263000
337,Petrol,Sedan,7,4.0,"Fully automatic climate control, 4 Zone climate control","Front passenger knee airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag",Yes,Porsche Panamera,10.63,90.0,22613000
338,Petrol,Sedan,7,4.0,"Fully automatic climate control, 4 Zone climate control","Front passenger knee airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag",Yes,Porsche Panamera,10.63,90.0,21747000
339,Diesel,SUV,6,7.0,Fully automatic climate control,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag",Yes,Lexus Lx 450D,18.0,93.0,23290000
341,Petrol,Coupe,7,2.0,Fully automatic climate control,"Driver curtain airbag, Driver frontal airbag, Front passenger frontal airbag, Driver head airbag, Front passenger side airbag, Front passenger head airbag, Drive side airbag, Front passenger curtain airbag",Yes,Audi R8,6.71,75.0,27245000
343,Petrol,Coupe,8,4.0,Fully automatic climate control,"Rear passenger side airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Bentley Continental Gt,8.6,90.0,33791059
344,Petrol,Convertible,7,2.0,2 Zone Climate Control,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Ferrari Portofino,9.0,92.0,35000000
345,Petrol,SUV,8,5.0,4 Zone climate control,"Rear passenger side airbags, Driver head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Bentley Bentayga,19.0,85.0,45941557
